"GENOME_NAME"	"ACCESSION"	"ANNOTATION"	"FEATURE_TYPE"	"NA_FEATURE_ID"	"LOCUS_TAG"	"START"	"END"	"STRAND"	"NA_LENGTH"	"GENE"	"PRODUCT"	"SEQID"	"GENUS"	"SPECIES"
"Lactobacillus delbrueckii subsp. bulgaricus 2038"	"CP000156"	"PATRIC"	"rRNA"	47129786	"VBILacDel183177_r025"	789161	790672	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP000156:789161-790672:+:Lactobacillus_delbrueckii_subsp._bulgaricus_2038"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus 2038"	"CP000156"	"PATRIC"	"rRNA"	47129904	"VBILacDel183177_r054"	821182	822693	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP000156:821182-822693:+:Lactobacillus_delbrueckii_subsp._bulgaricus_2038"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus 2038"	"CP000156"	"PATRIC"	"rRNA"	47131199	"VBILacDel183177_r082"	1416422	1417933	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP000156:1416422-1417933:-:Lactobacillus_delbrueckii_subsp._bulgaricus_2038"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus 2038"	"CP000156"	"PATRIC"	"rRNA"	47131470	"VBILacDel183177_r090"	1526988	1528499	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP000156:1526988-1528499:-:Lactobacillus_delbrueckii_subsp._bulgaricus_2038"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus 2038"	"CP000156"	"PATRIC"	"rRNA"	47131635	"VBILacDel183177_r102"	1596084	1597595	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP000156:1596084-1597595:-:Lactobacillus_delbrueckii_subsp._bulgaricus_2038"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus 2038"	"CP000156"	"PATRIC"	"rRNA"	47132124	"VBILacDel183177_r105"	1808664	1810175	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP000156:1808664-1810175:-:Lactobacillus_delbrueckii_subsp._bulgaricus_2038"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus 2038"	"CP000156"	"PATRIC"	"rRNA"	47132158	"VBILacDel183177_r116"	1818731	1820242	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP000156:1818731-1820242:-:Lactobacillus_delbrueckii_subsp._bulgaricus_2038"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842"	"NC_008054"	"PATRIC"	"rRNA"	22215775	"VBILacDel123523_r003"	45152	46663	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008054:45152-46663:+:Lactobacillus_delbrueckii_subsp._bulgaricus_ATCC_11842"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842"	"NC_008054"	"PATRIC"	"rRNA"	22217203	"VBILacDel123523_r020"	689128	690639	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008054:689128-690639:+:Lactobacillus_delbrueckii_subsp._bulgaricus_ATCC_11842"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842"	"NC_008054"	"PATRIC"	"rRNA"	22217431	"VBILacDel123523_r027"	806385	807896	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008054:806385-807896:+:Lactobacillus_delbrueckii_subsp._bulgaricus_ATCC_11842"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842"	"NC_008054"	"PATRIC"	"rRNA"	22218624	"VBILacDel123523_r057"	1359991	1361503	"-"	1513	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008054:1359991-1361503:-:Lactobacillus_delbrueckii_subsp._bulgaricus_ATCC_11842"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842"	"NC_008054"	"PATRIC"	"rRNA"	22218886	"VBILacDel123523_r065"	1470659	1472170	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008054:1470659-1472170:-:Lactobacillus_delbrueckii_subsp._bulgaricus_ATCC_11842"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842"	"NC_008054"	"PATRIC"	"rRNA"	22219057	"VBILacDel123523_r077"	1543353	1544864	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008054:1543353-1544864:-:Lactobacillus_delbrueckii_subsp._bulgaricus_ATCC_11842"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842"	"NC_008054"	"PATRIC"	"rRNA"	22219181	"VBILacDel123523_r108"	1577010	1578521	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008054:1577010-1578521:-:Lactobacillus_delbrueckii_subsp._bulgaricus_ATCC_11842"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842"	"NC_008054"	"PATRIC"	"rRNA"	22219639	"VBILacDel123523_r111"	1787116	1788627	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008054:1787116-1788627:-:Lactobacillus_delbrueckii_subsp._bulgaricus_ATCC_11842"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842"	"NC_008054"	"PATRIC"	"rRNA"	22219667	"VBILacDel123523_r122"	1794703	1796214	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008054:1794703-1796214:-:Lactobacillus_delbrueckii_subsp._bulgaricus_ATCC_11842"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365"	"NC_008529"	"PATRIC"	"rRNA"	22219903	"VBILacDel70259_r003"	43698	45209	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008529:43698-45209:+:Lactobacillus_delbrueckii_subsp._bulgaricus_ATCC_BAA-365"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365"	"NC_008529"	"PATRIC"	"rRNA"	22221307	"VBILacDel70259_r020"	683258	684769	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008529:683258-684769:+:Lactobacillus_delbrueckii_subsp._bulgaricus_ATCC_BAA-365"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365"	"NC_008529"	"PATRIC"	"rRNA"	22221523	"VBILacDel70259_r027"	792479	793990	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008529:792479-793990:+:Lactobacillus_delbrueckii_subsp._bulgaricus_ATCC_BAA-365"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365"	"NC_008529"	"PATRIC"	"rRNA"	22222807	"VBILacDel70259_r059"	1373621	1375132	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008529:1373621-1375132:-:Lactobacillus_delbrueckii_subsp._bulgaricus_ATCC_BAA-365"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365"	"NC_008529"	"PATRIC"	"rRNA"	22223069	"VBILacDel70259_r067"	1483861	1485372	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008529:1483861-1485372:-:Lactobacillus_delbrueckii_subsp._bulgaricus_ATCC_BAA-365"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365"	"NC_008529"	"PATRIC"	"rRNA"	22223247	"VBILacDel70259_r082"	1562061	1563572	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008529:1562061-1563572:-:Lactobacillus_delbrueckii_subsp._bulgaricus_ATCC_BAA-365"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365"	"NC_008529"	"PATRIC"	"rRNA"	22223363	"VBILacDel70259_r113"	1594319	1595830	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008529:1594319-1595830:-:Lactobacillus_delbrueckii_subsp._bulgaricus_ATCC_BAA-365"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365"	"NC_008529"	"PATRIC"	"rRNA"	22223797	"VBILacDel70259_r116"	1792105	1793616	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008529:1792105-1793616:-:Lactobacillus_delbrueckii_subsp._bulgaricus_ATCC_BAA-365"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365"	"NC_008529"	"PATRIC"	"rRNA"	22223823	"VBILacDel70259_r125"	1799450	1800961	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008529:1799450-1800961:-:Lactobacillus_delbrueckii_subsp._bulgaricus_ATCC_BAA-365"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1519"	"AGHW01000027"	"PATRIC"	"rRNA"	93390778	"VBILacDel201165_r042"	5	1516	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"AGHW01000027:5-1516:+:Lactobacillus_delbrueckii_subsp._bulgaricus_CNCM_I-1519"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632"	"AGFO01000051"	"PATRIC"	"rRNA"	93396233	"VBILacDel203376_r043"	66	1577	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"AGFO01000051:66-1577:+:Lactobacillus_delbrueckii_subsp._bulgaricus_CNCM_I-1632"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ND02"	"CP002341"	"PATRIC"	"rRNA"	43079358	"VBILacDel160915_r003"	33574	35085	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002341:33574-35085:+:Lactobacillus_delbrueckii_subsp._bulgaricus_ND02"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ND02"	"CP002341"	"PATRIC"	"rRNA"	43080790	"VBILacDel160915_r020"	736710	738221	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002341:736710-738221:+:Lactobacillus_delbrueckii_subsp._bulgaricus_ND02"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ND02"	"CP002341"	"PATRIC"	"rRNA"	43081010	"VBILacDel160915_r025"	858428	859939	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002341:858428-859939:+:Lactobacillus_delbrueckii_subsp._bulgaricus_ND02"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ND02"	"CP002341"	"PATRIC"	"rRNA"	43082425	"VBILacDel160915_r057"	1549527	1551038	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002341:1549527-1551038:-:Lactobacillus_delbrueckii_subsp._bulgaricus_ND02"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ND02"	"CP002341"	"PATRIC"	"rRNA"	43082673	"VBILacDel160915_r065"	1658423	1659933	"-"	1511	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002341:1658423-1659933:-:Lactobacillus_delbrueckii_subsp._bulgaricus_ND02"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ND02"	"CP002341"	"PATRIC"	"rRNA"	43082873	"VBILacDel160915_r078"	1744654	1746165	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002341:1744654-1746165:-:Lactobacillus_delbrueckii_subsp._bulgaricus_ND02"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ND02"	"CP002341"	"PATRIC"	"rRNA"	43082995	"VBILacDel160915_r109"	1782339	1783850	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002341:1782339-1783850:-:Lactobacillus_delbrueckii_subsp._bulgaricus_ND02"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ND02"	"CP002341"	"PATRIC"	"rRNA"	43083492	"VBILacDel160915_r114"	2019261	2020772	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002341:2019261-2020772:-:Lactobacillus_delbrueckii_subsp._bulgaricus_ND02"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus ND02"	"CP002341"	"PATRIC"	"rRNA"	43083528	"VBILacDel160915_r125"	2030616	2032127	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002341:2030616-2032127:-:Lactobacillus_delbrueckii_subsp._bulgaricus_ND02"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. lactis DSM 20072"	"AEXU01000148"	"PATRIC"	"rRNA"	53489645	"VBILacDel173930_r075"	152	1663	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"AEXU01000148:152-1663:-:Lactobacillus_delbrueckii_subsp._lactis_DSM_20072"	"Lactobacillus"	"delbrueckii"
"Lactobacillus farciminis KCTC 3681"	"AEOT01000034"	"PATRIC"	"rRNA"	52798701	"VBILacFar179928_r056"	210	1754	"+"	1545	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"AEOT01000034:210-1754:+:Lactobacillus_farciminis_KCTC_3681"	"Lactobacillus"	"farciminis"
"Lactobacillus fermentum CECT 5716"	"CP002033"	"PATRIC"	"rRNA"	43084114	"VBILacFer149467_r069"	169799	171353	"+"	1555	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002033:169799-171353:+:Lactobacillus_fermentum_CECT_5716"	"Lactobacillus"	"fermentum"
"Lactobacillus fermentum CECT 5716"	"CP002033"	"PATRIC"	"rRNA"	43084185	"VBILacFer149467_r002"	194083	195637	"+"	1555	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002033:194083-195637:+:Lactobacillus_fermentum_CECT_5716"	"Lactobacillus"	"fermentum"
"Lactobacillus fermentum CECT 5716"	"CP002033"	"PATRIC"	"rRNA"	43084371	"VBILacFer149467_r006"	273963	275517	"+"	1555	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002033:273963-275517:+:Lactobacillus_fermentum_CECT_5716"	"Lactobacillus"	"fermentum"
"Lactobacillus fermentum CECT 5716"	"CP002033"	"PATRIC"	"rRNA"	43085183	"VBILacFer149467_r020"	651902	653460	"+"	1559	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002033:651902-653460:+:Lactobacillus_fermentum_CECT_5716"	"Lactobacillus"	"fermentum"
"Lactobacillus fermentum CECT 5716"	"CP002033"	"PATRIC"	"rRNA"	43087564	"VBILacFer149467_r061"	1564360	1565914	"-"	1555	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002033:1564360-1565914:-:Lactobacillus_fermentum_CECT_5716"	"Lactobacillus"	"fermentum"
"Lactobacillus fermentum IFO 3956"	"NC_010610"	"PATRIC"	"rRNA"	22224236	"VBILacFer15497_r003"	169382	170936	"+"	1555	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_010610:169382-170936:+:Lactobacillus_fermentum_IFO_3956"	"Lactobacillus"	"fermentum"
"Lactobacillus fermentum IFO 3956"	"NC_010610"	"PATRIC"	"rRNA"	22224292	"VBILacFer15497_r007"	193646	195200	"+"	1555	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_010610:193646-195200:+:Lactobacillus_fermentum_IFO_3956"	"Lactobacillus"	"fermentum"
"Lactobacillus fermentum IFO 3956"	"NC_010610"	"PATRIC"	"rRNA"	22224450	"VBILacFer15497_r011"	273492	275046	"+"	1555	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_010610:273492-275046:+:Lactobacillus_fermentum_IFO_3956"	"Lactobacillus"	"fermentum"
"Lactobacillus fermentum IFO 3956"	"NC_010610"	"PATRIC"	"rRNA"	22225182	"VBILacFer15497_r025"	651349	652903	"+"	1555	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_010610:651349-652903:+:Lactobacillus_fermentum_IFO_3956"	"Lactobacillus"	"fermentum"
"Lactobacillus fermentum IFO 3956"	"NC_010610"	"PATRIC"	"rRNA"	22227076	"VBILacFer15497_r065"	1563224	1564778	"-"	1555	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_010610:1563224-1564778:-:Lactobacillus_fermentum_IFO_3956"	"Lactobacillus"	"fermentum"
"Lactobacillus florum 2F"	"ALXF01000024"	"PATRIC"	"rRNA"	101737559	"VBILacFlo254402_r004"	124	1642	"-"	1519	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"ALXF01000024:124-1642:-:Lactobacillus_florum_2F"	"Lactobacillus"	"florum"
"Lactobacillus gasseri 202-4"	"NZ_ACOZ01000018"	"PATRIC"	"rRNA"	30726791	"VBILacGas103493_r028"	157	1677	"-"	1521	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NZ_ACOZ01000018:157-1677:-:Lactobacillus_gasseri_202-4"	"Lactobacillus"	"gasseri"
"Lactobacillus gasseri 224-1"	"NZ_ADFT01000001"	"PATRIC"	"rRNA"	36450348	"VBILacGas139055_r004"	766	2286	"-"	1521	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NZ_ADFT01000001:766-2286:-:Lactobacillus_gasseri_224-1"	"Lactobacillus"	"gasseri"
"Lactobacillus gasseri 224-1"	"NZ_ADFT01000005"	"PATRIC"	"rRNA"	36451333	"VBILacGas139055_r035"	6144	7664	"+"	1521	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NZ_ADFT01000005:6144-7664:+:Lactobacillus_gasseri_224-1"	"Lactobacillus"	"gasseri"
"Lactobacillus gasseri 224-1"	"NZ_ADFT01000019"	"PATRIC"	"rRNA"	36453473	"VBILacGas139055_r051"	31626	33146	"+"	1521	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NZ_ADFT01000019:31626-33146:+:Lactobacillus_gasseri_224-1"	"Lactobacillus"	"gasseri"
"Lactobacillus gasseri 224-1"	"NZ_ADFT01000026"	"PATRIC"	"rRNA"	36453650	"VBILacGas139055_r058"	769	2289	"-"	1521	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NZ_ADFT01000026:769-2289:-:Lactobacillus_gasseri_224-1"	"Lactobacillus"	"gasseri"
"Lactobacillus gasseri 224-1"	"NZ_ADFT01000035"	"PATRIC"	"rRNA"	36454851	"VBILacGas139055_r100"	515	2035	"-"	1521	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NZ_ADFT01000035:515-2035:-:Lactobacillus_gasseri_224-1"	"Lactobacillus"	"gasseri"
"Lactobacillus gasseri ATCC 33323"	"NC_008530"	"PATRIC"	"rRNA"	22229042	"VBILacGas62225_r009"	477573	479093	"+"	1521	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008530:477573-479093:+:Lactobacillus_gasseri_ATCC_33323"	"Lactobacillus"	"gasseri"
"Lactobacillus gasseri ATCC 33323"	"NC_008530"	"PATRIC"	"rRNA"	22231293	"VBILacGas62225_r035"	1559208	1560728	"-"	1521	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008530:1559208-1560728:-:Lactobacillus_gasseri_ATCC_33323"	"Lactobacillus"	"gasseri"
"Lactobacillus gasseri ATCC 33323"	"NC_008530"	"PATRIC"	"rRNA"	22231331	"VBILacGas62225_r054"	1565878	1567398	"-"	1521	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008530:1565878-1567398:-:Lactobacillus_gasseri_ATCC_33323"	"Lactobacillus"	"gasseri"
"Lactobacillus gasseri ATCC 33323"	"NC_008530"	"PATRIC"	"rRNA"	22231401	"VBILacGas62225_r084"	1580052	1581572	"-"	1521	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008530:1580052-1581572:-:Lactobacillus_gasseri_ATCC_33323"	"Lactobacillus"	"gasseri"
"Lactobacillus gasseri ATCC 33323"	"NC_008530"	"PATRIC"	"rRNA"	22231769	"VBILacGas62225_r090"	1786734	1788254	"-"	1521	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008530:1786734-1788254:-:Lactobacillus_gasseri_ATCC_33323"	"Lactobacillus"	"gasseri"
"Lactobacillus gasseri ATCC 33323"	"NC_008530"	"PATRIC"	"rRNA"	22231781	"VBILacGas62225_r096"	1792249	1793769	"-"	1521	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008530:1792249-1793769:-:Lactobacillus_gasseri_ATCC_33323"	"Lactobacillus"	"gasseri"
"Lactobacillus gasseri CECT 5714"	"AKFQ01000020"	"PATRIC"	"rRNA"	93400605	"VBILacGas249718_r036"	166	1686	"-"	1521	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"AKFQ01000020:166-1686:-:Lactobacillus_gasseri_CECT_5714"	"Lactobacillus"	"gasseri"
"Lactobacillus gasseri JV-V03"	"NZ_GG669978"	"PATRIC"	"rRNA"	30733340	"VBILacGas103492_r026"	261	1781	"+"	1521	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NZ_GG669978:261-1781:+:Lactobacillus_gasseri_JV-V03"	"Lactobacillus"	"gasseri"
"Lactobacillus gasseri SJ-9E-US"	"ADDU01000006"	"PATRIC"	"rRNA"	51853958	"VBILacGas9643_r026"	398	1884	"-"	1487	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"ADDU01000006:398-1884:-:Lactobacillus_gasseri_SJ-9E-US"	"Lactobacillus"	"gasseri"
"Lactobacillus gasseri SV-16A-US"	"ADDY01000031"	"PATRIC"	"rRNA"	51858990	"VBILacGas118098_r031"	430	1916	"+"	1487	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"ADDY01000031:430-1916:+:Lactobacillus_gasseri_SV-16A-US"	"Lactobacillus"	"gasseri"
"Lactobacillus gastricus PS3"	"AICN01000060"	"PATRIC"	"rRNA"	74030114	"VBILacGas239477_r021"	69	1637	"-"	1569	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"AICN01000060:69-1637:-:Lactobacillus_gastricus_PS3"	"Lactobacillus"	"gastricus"
"Lactobacillus helveticus DPC 4571"	"NC_010080"	"PATRIC"	"rRNA"	22232117	"VBILacHel91643_r002"	76222	77777	"+"	1556	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_010080:76222-77777:+:Lactobacillus_helveticus_DPC_4571"	"Lactobacillus"	"helveticus"
"Lactobacillus helveticus DPC 4571"	"NC_010080"	"PATRIC"	"rRNA"	22232960	"VBILacHel91643_r015"	450945	452500	"+"	1556	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_010080:450945-452500:+:Lactobacillus_helveticus_DPC_4571"	"Lactobacillus"	"helveticus"
"Lactobacillus helveticus DPC 4571"	"NC_010080"	"PATRIC"	"rRNA"	22233034	"VBILacHel91643_r045"	468205	469760	"+"	1556	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_010080:468205-469760:+:Lactobacillus_helveticus_DPC_4571"	"Lactobacillus"	"helveticus"
"Lactobacillus helveticus DPC 4571"	"NC_010080"	"PATRIC"	"rRNA"	22235774	"VBILacHel91643_r071"	1697396	1698951	"-"	1556	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_010080:1697396-1698951:-:Lactobacillus_helveticus_DPC_4571"	"Lactobacillus"	"helveticus"
"Lactobacillus helveticus DSM 20075"	"NZ_GG700755"	"PATRIC"	"rRNA"	27425175	"VBILacHel2059_r028"	178698	180253	"-"	1556	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NZ_GG700755:178698-180253:-:Lactobacillus_helveticus_DSM_20075"	"Lactobacillus"	"helveticus"
"Lactobacillus helveticus H10"	"CP002429"	"PATRIC"	"rRNA"	47132465	"VBILacHel162941_r002"	85108	86619	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002429:85108-86619:+:Lactobacillus_helveticus_H10"	"Lactobacillus"	"helveticus"
"Lactobacillus helveticus H10"	"CP002429"	"PATRIC"	"rRNA"	47133241	"VBILacHel162941_r013"	428549	430060	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002429:428549-430060:+:Lactobacillus_helveticus_H10"	"Lactobacillus"	"helveticus"
"Lactobacillus helveticus H10"	"CP002429"	"PATRIC"	"rRNA"	47133321	"VBILacHel162941_r045"	446059	447570	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002429:446059-447570:+:Lactobacillus_helveticus_H10"	"Lactobacillus"	"helveticus"
"Lactobacillus helveticus H10"	"CP002429"	"PATRIC"	"rRNA"	47136251	"VBILacHel162941_r073"	1736960	1738471	"-"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002429:1736960-1738471:-:Lactobacillus_helveticus_H10"	"Lactobacillus"	"helveticus"
"Lactobacillus helveticus R0052"	"AEIR01000003"	"PATRIC"	"rRNA"	77121429	"VBILacHel172560_r003"	337905	339459	"+"	1555	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"AEIR01000003:337905-339459:+:Lactobacillus_helveticus_R0052"	"Lactobacillus"	"helveticus"
"Lactobacillus helveticus R0052"	"AEIR01000004"	"PATRIC"	"rRNA"	77124503	"VBILacHel172560_r031"	231899	233456	"-"	1558	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"AEIR01000004:231899-233456:-:Lactobacillus_helveticus_R0052"	"Lactobacillus"	"helveticus"
"Lactobacillus helveticus R0052"	"AEIR01000004"	"PATRIC"	"rRNA"	77124582	"VBILacHel172560_r061"	250769	252323	"-"	1555	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"AEIR01000004:250769-252323:-:Lactobacillus_helveticus_R0052"	"Lactobacillus"	"helveticus"
